1000	0.000107103
2000	0.000267754
3000	0.000367727
4000	0.000499528
5000	0.000670934
6000	0.000790946
7000	0.000639736
8000	0.000733028
9000	0.00082077
10000	0.00152238
11000	0.00165355
12000	0.002049
13000	0.00191535
14000	0.00201306
15000	0.00191354
16000	0.0012307
17000	0.00130669
18000	0.00140313
19000	0.00166245
20000	0.00223926
21000	0.00188535
22000	0.00277177
23000	0.00326143
24000	0.00249325
25000	0.00211182
26000	0.00222129
27000	0.00417443
28000	0.00266261
29000	0.00425466
30000	0.00389012
31000	0.00265303
32000	0.00277496
33000	0.00283326
34000	0.00290305
35000	0.0029907
36000	0.0030662
37000	0.00342034
38000	0.00328642
39000	0.0034239
40000	0.00346134
41000	0.00366509
42000	0.00368592
43000	0.00384056
44000	0.00392845
45000	0.0040353
46000	0.00399197
47000	0.00692451
48000	0.0028817
49000	0.00298908
50000	0.00418185
51000	0.00457435
52000	0.00868707
53000	0.00870088
54000	0.00323543
55000	0.00340335
56000	0.00415681
57000	0.00482236
58000	0.00497333
59000	0.00486803
60000	0.00497758
61000	0.00526912
62000	0.00513951
63000	0.00573998
64000	0.00559355
65000	0.00559362
66000	0.00574281
67000	0.00529156
68000	0.00600232
69000	0.00600089
70000	0.0062612
71000	0.00627331
72000	0.00601773
73000	0.00656667
74000	0.0066675
75000	0.00650286
76000	0.00704573
77000	0.00682924
78000	0.00689972
79000	0.00704073
80000	0.00713459
81000	0.0136777
82000	0.0136346
83000	0.0129179
84000	0.00993469
85000	0.00904529
86000	0.00806075
87000	0.0054259
88000	0.00784248
89000	0.00604101
90000	0.00776619
91000	0.00589269
92000	0.0082774
93000	0.0111204
94000	0.0113069
95000	0.0116835
96000	0.0069914
97000	0.00618103
98000	0.00628194
99000	0.00914352
